"trait","variable","edf","ref_df","F","p_value","p_FDR","interpretation"
"L_1","elevation",0.000231643543253658,3,5.054753987664e-05,0.389674968908564,0.949202049828722,"ns"
"L_1","bio_1",0.0830056301587463,3,0.0300747518919505,0.278494300101501,0.949202049828722,"ns"
"L_1","bio_2",3.28362314417758e-05,3,1.64292280051555e-06,0.656356271037435,0.949202049828722,"ns"
"L_1","bio_3",1.43033373471303e-05,3,1.20874170410989e-06,0.584040248372979,0.949202049828722,"ns"
"L_1","bio_4",0.0762637054410463,3,0.0274783172294106,0.275436839872422,0.949202049828722,"ns"
"L_1","bio_5",2.67154168440626e-05,3,1.13582474509469e-07,0.942873255240907,0.952066652739074,"ns"
"L_1","bio_6",7.90469420133466e-05,3,1.23720245476071e-05,0.456451137111718,0.949202049828722,"ns"
"L_1","bio_7",7.60182667076639e-05,3,2.81348378256562e-06,0.737837077329675,0.952066652739074,"ns"
"L_2","elevation",0.806355175992034,3,1.1707471910494,0.0348994175173312,0.558390680277299,"ns"
"L_2","bio_1",6.25236356223289e-05,3,6.96877619374582e-07,0.905238416673186,0.952066652739074,"ns"
"L_2","bio_2",5.00567983047221e-05,3,1.02514769451294e-06,0.808639429490894,0.952066652739074,"ns"
"L_2","bio_3",7.64603335425435e-05,3,4.78205554211831e-07,0.895457368546051,0.952066652739074,"ns"
"L_2","bio_4",0.000128311203424214,3,1.20224046537165e-05,0.590959488446594,0.949202049828722,"ns"
"L_2","bio_5",0.445414318840145,3,0.260795084027462,0.13274645183401,0.849577291737663,"ns"
"L_2","bio_6",2.71784460762268e-05,3,1.26082751636616e-06,0.678501776509159,0.949202049828722,"ns"
"L_2","bio_7",4.83422983538406e-05,3,2.98217596687645e-06,0.652319985883292,0.949202049828722,"ns"
"contrast","elevation",0.979135006287436,3,2.95762755352103,0.00217882365308286,0.0697223568986516,"ns"
"contrast","bio_1",1.98383385199726e-05,3,1.9065690124754e-07,0.950305033765097,0.952066652739074,"ns"
"contrast","bio_2",2.27009914241416e-05,3,1.32974076755778e-06,0.682238973314394,0.949202049828722,"ns"
"contrast","bio_3",7.33676897957399e-05,3,1.95771815540204e-07,0.952066652739074,0.952066652739074,"ns"
"contrast","bio_4",4.02856435509709e-05,3,6.67799427343928e-07,0.858420124562465,0.952066652739074,"ns"
"contrast","bio_5",7.55826928290137e-05,3,7.36908824192651e-06,0.590051001123664,0.949202049828722,"ns"
"contrast","bio_6",1.20568144003546e-05,3,7.21208799476383e-07,0.677082038714132,0.949202049828722,"ns"
"contrast","bio_7",9.73917381131059e-05,3,6.9337955821291e-06,0.64753350108571,0.949202049828722,"ns"
"warmth","elevation",5.01335970573712e-06,3,5.97758988379649e-07,0.526547073883563,0.949202049828722,"ns"
"warmth","bio_1",1.19713159999229e-05,3,1.11254744601954e-06,0.585418239083602,0.949202049828722,"ns"
"warmth","bio_2",1.05504755402121e-05,3,1.28945752970731e-06,0.536575850437905,0.949202049828722,"ns"
"warmth","bio_3",0.182972955381525,3,0.0745739694645917,0.263213495195592,0.949202049828722,"ns"
"warmth","bio_4",1.79813067702045e-05,3,2.14798697825037e-07,0.881709772044767,0.952066652739074,"ns"
"warmth","bio_5",0.584063254421816,3,0.450216520748342,0.122563835417229,0.849577291737663,"ns"
"warmth","bio_6",0.000139870632786006,3,2.88988626807088e-05,0.411594271120809,0.949202049828722,"ns"
"warmth","bio_7",0.663932367226194,3,0.595881405633165,0.0914130744295644,0.849577291737663,"ns"
