"trait","n","p_env","p_env_fdr","delta_R2","R2_full","dev_expl","variable","edf","F","p_value","p_FDR"
"contrast",1702,0.202697838448169,0.270263784597559,-0.00343719230358241,0.298435325325416,0.331683614559794,"elevation",0.00236596574683119,0.000460875977572616,0.425675789516559,0.541769186657438
"contrast",1702,0.202697838448169,0.270263784597559,-0.00343719230358241,0.298435325325416,0.331683614559794,"bio_1",0.00109291366686312,6.95251204792282e-05,0.657606985818234,0.707626794838456
"contrast",1702,0.202697838448169,0.270263784597559,-0.00343719230358241,0.298435325325416,0.331683614559794,"bio_2",2.52099745374902,4.38549973154831,0.000772824699700303,0.0043278183183217
"contrast",1702,0.202697838448169,0.270263784597559,-0.00343719230358241,0.298435325325416,0.331683614559794,"bio_3",0.00343641236145537,0.000691173123677525,0.420934711251186,0.541769186657438
"contrast",1702,0.202697838448169,0.270263784597559,-0.00343719230358241,0.298435325325416,0.331683614559794,"bio_4",0.952968344239945,2.26002347052258,0.00376718122015918,0.0175801790274095
"contrast",1702,0.202697838448169,0.270263784597559,-0.00343719230358241,0.298435325325416,0.331683614559794,"bio_5",0.00178663088921097,0.000404861918311257,0.393248504270145,0.541769186657438
"contrast",1702,0.202697838448169,0.270263784597559,-0.00343719230358241,0.298435325325416,0.331683614559794,"bio_6",0.443769398268565,0.263171526298594,0.158453848076224,0.277294234133392
"L_1",1702,0.00835905798381579,0.0167181159676316,0.00621213998850956,0.10134049380717,0.145837642328179,"elevation",0.000982116792521973,0.000102102058091372,0.553301127273561,0.645517981819154
"L_1",1702,0.00835905798381579,0.0167181159676316,0.00621213998850956,0.10134049380717,0.145837642328179,"bio_1",0.472559208650442,0.294476722803042,0.154360363122527,0.277294234133392
"L_1",1702,0.00835905798381579,0.0167181159676316,0.00621213998850956,0.10134049380717,0.145837642328179,"bio_2",0.494254475722135,0.317949907637355,0.117860438749789,0.235720877499578
"L_1",1702,0.00835905798381579,0.0167181159676316,0.00621213998850956,0.10134049380717,0.145837642328179,"bio_3",0.718857174877325,0.706792605663733,0.0658781666676064,0.153715722224415
"L_1",1702,0.00835905798381579,0.0167181159676316,0.00621213998850956,0.10134049380717,0.145837642328179,"bio_4",1.07856747566688,4.04662932722354,0.000112826975663949,0.00157957765929528
"L_1",1702,0.00835905798381579,0.0167181159676316,0.00621213998850956,0.10134049380717,0.145837642328179,"bio_5",0.00152081883687421,0.000139042712080741,0.577239278178798,0.646507991560254
"L_1",1702,0.00835905798381579,0.0167181159676316,0.00621213998850956,0.10134049380717,0.145837642328179,"bio_6",0.5675691678933,0.423311861374641,0.106069081301779,0.228456482803831
"L_2",1702,0.399891902059318,0.399891902059318,0.000241338648246936,0.241571226908629,0.279628951063283,"elevation",0.000953490850231108,5.22872179640394e-05,0.682354409308511,0.707626794838456
"L_2",1702,0.399891902059318,0.399891902059318,0.000241338648246936,0.241571226908629,0.279628951063283,"bio_1",0.00146004165737412,0.000166371035602245,0.544586703348855,0.645517981819154
"L_2",1702,0.399891902059318,0.399891902059318,0.000241338648246936,0.241571226908629,0.279628951063283,"bio_2",0.00139566368498062,0.00023523701191298,0.423269167021702,0.541769186657438
"L_2",1702,0.399891902059318,0.399891902059318,0.000241338648246936,0.241571226908629,0.279628951063283,"bio_3",2.37988196798896,1.80194657342443,0.0645199900328702,0.153715722224415
"L_2",1702,0.399891902059318,0.399891902059318,0.000241338648246936,0.241571226908629,0.279628951063283,"bio_4",1.03643880996078,3.41791189962574,0.000398186241957976,0.00278730369370583
"L_2",1702,0.399891902059318,0.399891902059318,0.000241338648246936,0.241571226908629,0.279628951063283,"bio_5",0.00204413665044421,9.14361840716751e-05,0.714310577732189,0.714310577732189
"L_2",1702,0.399891902059318,0.399891902059318,0.000241338648246936,0.241571226908629,0.279628951063283,"bio_6",0.748953371054394,0.896504356213542,0.0399137523632553,0.124176118463461
"warmth",1702,1.299145946445e-07,5.19658378578e-07,0.00958380237623768,0.192277779945159,0.229164779165443,"elevation",2.57603001634501,6.50050013361928,4.99263760906921e-05,0.00139793853053938
"warmth",1702,1.299145946445e-07,5.19658378578e-07,0.00958380237623768,0.192277779945159,0.229164779165443,"bio_1",0.804599302325023,1.16576014718611,0.032426348421674,0.113492219475859
"warmth",1702,1.299145946445e-07,5.19658378578e-07,0.00958380237623768,0.192277779945159,0.229164779165443,"bio_2",0.804862507355057,1.20570832842351,0.0295617108159296,0.113492219475859
"warmth",1702,1.299145946445e-07,5.19658378578e-07,0.00958380237623768,0.192277779945159,0.229164779165443,"bio_3",0.775829776398368,0.939074639262445,0.0489419848921245,0.137037557697949
"warmth",1702,1.299145946445e-07,5.19658378578e-07,0.00958380237623768,0.192277779945159,0.229164779165443,"bio_4",0.0019312245512617,0.000457624898315304,0.396408907839555,0.541769186657438
"warmth",1702,1.299145946445e-07,5.19658378578e-07,0.00958380237623768,0.192277779945159,0.229164779165443,"bio_5",0.00368289637043805,0.00145585173090211,0.255840506386847,0.421384363460688
"warmth",1702,1.299145946445e-07,5.19658378578e-07,0.00958380237623768,0.192277779945159,0.229164779165443,"bio_6",0.987986760719961,3.96938758064369,0.000196512006407579,0.00183411205980407
