"trait","variable","edf","ref_df","F","p_value","p_FDR","interpretation"
"L_1","elevation",0.000982116792521973,3,0.000102102058091372,0.553301127273561,0.645517981819154,"ns"
"L_1","bio_1",0.472559208650442,3,0.294476722803042,0.154360363122527,0.277294234133392,"ns"
"L_1","bio_2",0.494254475722135,3,0.317949907637355,0.117860438749789,0.235720877499578,"ns"
"L_1","bio_3",0.718857174877325,3,0.706792605663733,0.0658781666676064,0.153715722224415,"ns"
"L_1","bio_4",1.07856747566688,3,4.04662932722354,0.000112826975663949,0.00157957765929528,"significant smooth"
"L_1","bio_5",0.00152081883687421,3,0.000139042712080741,0.577239278178798,0.646507991560254,"ns"
"L_1","bio_6",0.5675691678933,3,0.423311861374641,0.106069081301779,0.228456482803831,"ns"
"L_2","elevation",0.000953490850231108,3,5.22872179640394e-05,0.682354409308511,0.707626794838456,"ns"
"L_2","bio_1",0.00146004165737412,3,0.000166371035602245,0.544586703348855,0.645517981819154,"ns"
"L_2","bio_2",0.00139566368498062,3,0.00023523701191298,0.423269167021702,0.541769186657438,"ns"
"L_2","bio_3",2.37988196798896,3,1.80194657342443,0.0645199900328702,0.153715722224415,"ns"
"L_2","bio_4",1.03643880996078,3,3.41791189962574,0.000398186241957976,0.00278730369370583,"significant smooth"
"L_2","bio_5",0.00204413665044421,3,9.14361840716751e-05,0.714310577732189,0.714310577732189,"ns"
"L_2","bio_6",0.748953371054394,3,0.896504356213542,0.0399137523632553,0.124176118463461,"ns"
"contrast","elevation",0.00236596574683119,3,0.000460875977572616,0.425675789516559,0.541769186657438,"ns"
"contrast","bio_1",0.00109291366686312,3,6.95251204792282e-05,0.657606985818234,0.707626794838456,"ns"
"contrast","bio_2",2.52099745374902,3,4.38549973154831,0.000772824699700303,0.0043278183183217,"significant smooth"
"contrast","bio_3",0.00343641236145537,3,0.000691173123677525,0.420934711251186,0.541769186657438,"ns"
"contrast","bio_4",0.952968344239945,3,2.26002347052258,0.00376718122015918,0.0175801790274095,"significant smooth"
"contrast","bio_5",0.00178663088921097,3,0.000404861918311257,0.393248504270145,0.541769186657438,"ns"
"contrast","bio_6",0.443769398268565,3,0.263171526298594,0.158453848076224,0.277294234133392,"ns"
"warmth","elevation",2.57603001634501,3,6.50050013361928,4.99263760906921e-05,0.00139793853053938,"significant smooth"
"warmth","bio_1",0.804599302325023,3,1.16576014718611,0.032426348421674,0.113492219475859,"ns"
"warmth","bio_2",0.804862507355057,3,1.20570832842351,0.0295617108159296,0.113492219475859,"ns"
"warmth","bio_3",0.775829776398368,3,0.939074639262445,0.0489419848921245,0.137037557697949,"ns"
"warmth","bio_4",0.0019312245512617,3,0.000457624898315304,0.396408907839555,0.541769186657438,"ns"
"warmth","bio_5",0.00368289637043805,3,0.00145585173090211,0.255840506386847,0.421384363460688,"ns"
"warmth","bio_6",0.987986760719961,3,3.96938758064369,0.000196512006407579,0.00183411205980407,"significant smooth"
