"trait","n","p_env","p_env_fdr","delta_R2","R2_full","dev_expl","variable","edf","F","p_value","p_FDR"
"contrast",2464,0.666293326720236,0.666293326720236,-0.000308348611832154,0.211541161792753,0.234124658594456,"elevation",0.000201766455618708,3.95423068174159e-07,0.9778416338358,0.9778416338358
"contrast",2464,0.666293326720236,0.666293326720236,-0.000308348611832154,0.211541161792753,0.234124658594456,"bio_1",0.683474175802549,0.673411286579757,0.0813564639369044,0.162712927873809
"contrast",2464,0.666293326720236,0.666293326720236,-0.000308348611832154,0.211541161792753,0.234124658594456,"bio_2",1.06305177900968,4.56073576746387,0.000122770573973141,0.000982164591785128
"contrast",2464,0.666293326720236,0.666293326720236,-0.000308348611832154,0.211541161792753,0.234124658594456,"bio_3",0.00246501014142689,0.000536320933609472,0.402120406212445,0.584902409036284
"contrast",2464,0.666293326720236,0.666293326720236,-0.000308348611832154,0.211541161792753,0.234124658594456,"bio_4",0.905018951715951,2.56303606991906,0.00315278511479344,0.0126111404591738
"contrast",2464,0.666293326720236,0.666293326720236,-0.000308348611832154,0.211541161792753,0.234124658594456,"bio_5",0.000151241138939757,5.96594592072781e-06,0.744697515100702,0.885135219582845
"contrast",2464,0.666293326720236,0.666293326720236,-0.000308348611832154,0.211541161792753,0.234124658594456,"bio_6",0.0070002169090849,0.00176526229647391,0.344951385006534,0.525640205724242
"contrast",2464,0.666293326720236,0.666293326720236,-0.000308348611832154,0.211541161792753,0.234124658594456,"bio_7",0.00012064536198172,4.42963100927968e-06,0.746832841523026,0.885135219582845
"L_1",2464,0.000142444588711064,0.000213666883066595,0.0107416284269699,0.110358251572212,0.140260001456049,"elevation",0.2182709048866,0.0920511333687554,0.201873918679896,0.339998178829298
"L_1",2464,0.000142444588711064,0.000213666883066595,0.0107416284269699,0.110358251572212,0.140260001456049,"bio_1",0.00228880354362472,1.03987162210667e-05,0.947143348426707,0.977696359666278
"L_1",2464,0.000142444588711064,0.000213666883066595,0.0107416284269699,0.110358251572212,0.140260001456049,"bio_2",0.00272692342745511,0.000397777455530705,0.462650662050482,0.643687877635453
"L_1",2464,0.000142444588711064,0.000213666883066595,0.0107416284269699,0.110358251572212,0.140260001456049,"bio_3",0.000455952493771679,7.93848529083548e-06,0.841664267895207,0.938289179498277
"L_1",2464,0.000142444588711064,0.000213666883066595,0.0107416284269699,0.110358251572212,0.140260001456049,"bio_4",0.90200649308259,2.3615751133209,0.00173230734187302,0.0094167702664864
"L_1",2464,0.000142444588711064,0.000213666883066595,0.0107416284269699,0.110358251572212,0.140260001456049,"bio_5",2.0312390030851,2.19972568189463,0.0208240499781793,0.0512591999462876
"L_1",2464,0.000142444588711064,0.000213666883066595,0.0107416284269699,0.110358251572212,0.140260001456049,"bio_6",2.44396844961004,3.49051863389431,0.0020599184957939,0.0094167702664864
"L_1",2464,0.000142444588711064,0.000213666883066595,0.0107416284269699,0.110358251572212,0.140260001456049,"bio_7",0.825754905065914,1.29721429187767,0.0203824942756869,0.0512591999462876
"L_2",2464,5.85565817079994e-05,0.000175669745123998,0.00702136653089958,0.157701497378783,0.182284194182702,"elevation",0.00154192641660805,2.0648697128573e-05,0.850324568920314,0.938289179498277
"L_2",2464,5.85565817079994e-05,0.000175669745123998,0.00702136653089958,0.157701497378783,0.182284194182702,"bio_1",0.44814931893166,0.265329891508627,0.151915945618637,0.285959427046845
"L_2",2464,5.85565817079994e-05,0.000175669745123998,0.00702136653089958,0.157701497378783,0.182284194182702,"bio_2",0.910744002215543,1.89689407887817,0.00767163111780012,0.0245492195769604
"L_2",2464,5.85565817079994e-05,0.000175669745123998,0.00702136653089958,0.157701497378783,0.182284194182702,"bio_3",0.00184722963959077,0.000133509381534637,0.626099324467714,0.801407135318674
"L_2",2464,5.85565817079994e-05,0.000175669745123998,0.00702136653089958,0.157701497378783,0.182284194182702,"bio_4",0.860082958176008,1.80522170548098,0.00696906446798151,0.0245492195769604
"L_2",2464,5.85565817079994e-05,0.000175669745123998,0.00702136653089958,0.157701497378783,0.182284194182702,"bio_5",0.894973138021941,1.4559708792325,0.0203796640421444,0.0512591999462876
"L_2",2464,5.85565817079994e-05,0.000175669745123998,0.00702136653089958,0.157701497378783,0.182284194182702,"bio_6",0.294648988196209,0.136022583152228,0.193872174176173,0.339998178829298
"L_2",2464,5.85565817079994e-05,0.000175669745123998,0.00702136653089958,0.157701497378783,0.182284194182702,"bio_7",0.711449396885008,0.752389249451103,0.0610686324537181,0.130279749234599
"warmth",2464,NA,NA,0.00572628422664057,0.242977190914085,0.266929580104958,"elevation",0.0017470653949844,0.000125829120002865,0.567674256418596,0.756899008558128
"warmth",2464,NA,NA,0.00572628422664057,0.242977190914085,0.266929580104958,"bio_1",2.43217823704207,7.07552137064394,3.33786224815391e-06,5.34057959704626e-05
"warmth",2464,NA,NA,0.00572628422664057,0.242977190914085,0.266929580104958,"bio_2",0.962444897018762,2.40647387282983,0.0019121763376666,0.0094167702664864
"warmth",2464,NA,NA,0.00572628422664057,0.242977190914085,0.266929580104958,"bio_3",0.76108343285811,0.929702121206831,0.0404660205442494,0.0924937612439987
"warmth",2464,NA,NA,0.00572628422664057,0.242977190914085,0.266929580104958,"bio_4",0.00180354343958081,6.30904266864848e-06,0.935538588630941,0.977696359666278
"warmth",2464,NA,NA,0.00572628422664057,0.242977190914085,0.266929580104958,"bio_5",1.14479792639191,4.74165248629336,3.06268157340694e-05,0.000326686034496741
"warmth",2464,NA,NA,0.00572628422664057,0.242977190914085,0.266929580104958,"bio_6",1.24029541841042,10.5866035786981,0,0
"warmth",2464,NA,NA,0.00572628422664057,0.242977190914085,0.266929580104958,"bio_7",0.103367677967825,0.0383073787498501,0.271842584668239,0.434948135469183
