"trait","n","p_env","p_env_fdr","delta_R2","R2_full","dev_expl","variable","edf","F","p_value","p_FDR"
"contrast",268,0.0206400188004949,0.0275200250673265,0.0303141119620917,0.143279834148562,0.264787543065005,"elevation",6.69222950463437e-05,9.68469001550449e-07,0.847005835750807,0.987215551171591
"contrast",268,0.0206400188004949,0.0275200250673265,0.0303141119620917,0.143279834148562,0.264787543065005,"bio_1",2.73453500452385e-05,6.72015458311886e-08,0.979784723021855,0.987215551171591
"contrast",268,0.0206400188004949,0.0275200250673265,0.0303141119620917,0.143279834148562,0.264787543065005,"bio_2",0.578196480681338,0.438100388654826,0.118059609898702,0.755581503351694
"contrast",268,0.0206400188004949,0.0275200250673265,0.0303141119620917,0.143279834148562,0.264787543065005,"bio_3",5.26742726076925e-05,3.2143868631958e-06,0.663974916912772,0.987215551171591
"contrast",268,0.0206400188004949,0.0275200250673265,0.0303141119620917,0.143279834148562,0.264787543065005,"bio_4",0.459608456505781,0.278087659218102,0.161276369395198,0.860140636774387
"contrast",268,0.0206400188004949,0.0275200250673265,0.0303141119620917,0.143279834148562,0.264787543065005,"bio_5",4.31382121638333e-06,9.73796431777796e-08,0.815373592643485,0.987215551171591
"contrast",268,0.0206400188004949,0.0275200250673265,0.0303141119620917,0.143279834148562,0.264787543065005,"bio_6",7.57787382681722e-05,8.52929128543783e-07,0.872894294907088,0.987215551171591
"contrast",268,0.0206400188004949,0.0275200250673265,0.0303141119620917,0.143279834148562,0.264787543065005,"bio_7",0.833631382460521,1.5125765678984,0.0191545937562041,0.212380823182116
"L_1",268,0.00760612170897887,0.0275200250673265,-3.85803912039684e-07,0.0456743394236857,0.182513836427639,"elevation",4.44500197396775e-06,1.18286224236569e-08,0.959542706181144,0.987215551171591
"L_1",268,0.00760612170897887,0.0275200250673265,-3.85803912039684e-07,0.0456743394236857,0.182513836427639,"bio_1",4.68251994553593e-06,3.92993258908118e-07,0.600604230207185,0.987215551171591
"L_1",268,0.00760612170897887,0.0275200250673265,-3.85803912039684e-07,0.0456743394236857,0.182513836427639,"bio_2",3.71401339446814e-05,5.91403917745598e-07,0.832937853723142,0.987215551171591
"L_1",268,0.00760612170897887,0.0275200250673265,-3.85803912039684e-07,0.0456743394236857,0.182513836427639,"bio_3",1.80536201338815e-05,2.87962096901482e-07,0.817363989705702,0.987215551171591
"L_1",268,0.00760612170897887,0.0275200250673265,-3.85803912039684e-07,0.0456743394236857,0.182513836427639,"bio_4",0.000148866191390635,2.35926484825673e-05,0.465951191140809,0.987215551171591
"L_1",268,0.00760612170897887,0.0275200250673265,-3.85803912039684e-07,0.0456743394236857,0.182513836427639,"bio_5",8.40686977773813e-05,7.41169507056234e-06,0.60885633527552,0.987215551171591
"L_1",268,0.00760612170897887,0.0275200250673265,-3.85803912039684e-07,0.0456743394236857,0.182513836427639,"bio_6",0.000139568490440551,1.19082700920417e-05,0.596692609572136,0.987215551171591
"L_1",268,0.00760612170897887,0.0275200250673265,-3.85803912039684e-07,0.0456743394236857,0.182513836427639,"bio_7",3.46656353878383e-05,3.25235896550437e-06,0.578603166518657,0.987215551171591
