"trait","variable","edf","ref_df","F","p_value","p_FDR","interpretation"
"L_1","elevation",4.44500197396775e-06,3,1.18286224236569e-08,0.959542706181144,0.987215551171591,"ns"
"L_1","bio_1",4.68251994553593e-06,3,3.92993258908118e-07,0.600604230207185,0.987215551171591,"ns"
"L_1","bio_2",3.71401339446814e-05,3,5.91403917745598e-07,0.832937853723142,0.987215551171591,"ns"
"L_1","bio_3",1.80536201338815e-05,3,2.87962096901482e-07,0.817363989705702,0.987215551171591,"ns"
"L_1","bio_4",0.000148866191390635,3,2.35926484825673e-05,0.465951191140809,0.987215551171591,"ns"
"L_1","bio_5",8.40686977773813e-05,3,7.41169507056234e-06,0.60885633527552,0.987215551171591,"ns"
"L_1","bio_6",0.000139568490440551,3,1.19082700920417e-05,0.596692609572136,0.987215551171591,"ns"
"L_1","bio_7",3.46656353878383e-05,3,3.25235896550437e-06,0.578603166518657,0.987215551171591,"ns"
"L_2","elevation",3.00964316704697e-05,3,3.73227120695423e-06,0.541535806798911,0.987215551171591,"ns"
"L_2","bio_1",2.46146768519838e-05,3,4.53713685793179e-06,0.455495817242851,0.987215551171591,"ns"
"L_2","bio_2",0.404142813521872,3,0.22285093062482,0.19814899705422,0.905823986533577,"ns"
"L_2","bio_3",4.09940119421373e-05,3,3.38302172810538e-07,0.89586702666199,0.987215551171591,"ns"
"L_2","bio_4",0.000122261888105787,3,3.17289413071672e-05,0.362532661451192,0.987215551171591,"ns"
"L_2","bio_5",0.000281825186821323,3,1.31320460314639e-05,0.72181217218444,0.987215551171591,"ns"
"L_2","bio_6",4.51741443105031e-05,3,1.70279009917457e-06,0.74199400859371,0.987215551171591,"ns"
"L_2","bio_7",0.851589453169075,3,1.65913848902133,0.0152430716423687,0.212380823182116,"ns"
"contrast","elevation",6.69222950463437e-05,3,9.68469001550449e-07,0.847005835750807,0.987215551171591,"ns"
"contrast","bio_1",2.73453500452385e-05,3,6.72015458311886e-08,0.979784723021855,0.987215551171591,"ns"
"contrast","bio_2",0.578196480681338,3,0.438100388654826,0.118059609898702,0.755581503351694,"ns"
"contrast","bio_3",5.26742726076925e-05,3,3.2143868631958e-06,0.663974916912772,0.987215551171591,"ns"
"contrast","bio_4",0.459608456505781,3,0.278087659218102,0.161276369395198,0.860140636774387,"ns"
"contrast","bio_5",4.31382121638333e-06,3,9.73796431777796e-08,0.815373592643485,0.987215551171591,"ns"
"contrast","bio_6",7.57787382681722e-05,3,8.52929128543783e-07,0.872894294907088,0.987215551171591,"ns"
"contrast","bio_7",0.833631382460521,3,1.5125765678984,0.0191545937562041,0.212380823182116,"ns"
"warmth","elevation",6.34905516914494e-05,3,2.30242592430122e-06,0.746233474373848,0.987215551171591,"ns"
"warmth","bio_1",9.03304973687666e-05,3,1.61168412426169e-07,0.987215551171591,0.987215551171591,"ns"
"warmth","bio_2",0.000217251987572294,3,4.34212421012302e-05,0.409525601172881,0.987215551171591,"ns"
"warmth","bio_3",0.493902011715388,3,0.317926352437874,0.111894751320335,0.755581503351694,"ns"
"warmth","bio_4",0.000104975588261483,3,2.34750372301746e-06,0.80662456953805,0.987215551171591,"ns"
"warmth","bio_5",0.00041451798061052,3,7.714260557037e-05,0.455705994861912,0.987215551171591,"ns"
"warmth","bio_6",0.000109982099783571,3,4.27270017509607e-07,0.948564008900352,0.987215551171591,"ns"
"warmth","bio_7",0.814314517685622,3,1.3423966796111,0.0199107021733234,0.212380823182116,"ns"
