"photo_id","file","cluster","proportion","L","a","b","hex"
"1273855712_1","1273855712_1.png",1,0.5448,71.1677875896747,-1.43842154145245,8.30442141626388,"#B2AE9F"
"1273855712_1","1273855712_1.png",2,0.4552,56.9571211158432,-0.769548272405818,12.9143552365231,"#908872"
"1273855712_2","1273855712_2.png",1,0.7556,66.9313479870974,-1.31244401140287,4.7768295461039,"#A4A39A"
"1273855712_2","1273855712_2.png",2,0.2444,54.2177060482967,-0.724377804877077,9.89817675244274,"#878171"
"1291094995_1","1291094995_1.png",1,0.5102,53.8001584170548,-0.195944313018718,0.800876738818345,"#81817F"
"1291094995_1","1291094995_1.png",2,0.4898,78.0941128654453,-0.233169712238772,0.574163604813731,"#C1C1C0"
"1291105271_1","1291105271_1.png",1,0.626,70.5797731346565,0.803309356932477,2.54068869834309,"#B0ACA8"
"1291105271_1","1291105271_1.png",2,0.374,53.6931257276177,0.559118821443318,3.00315971307972,"#84807B"
"1305145619_1","1305145619_1.png",1,0.5842,55.0981017565785,-0.699538616493507,4.03683815218293,"#86847D"
"1305145619_1","1305145619_1.png",2,0.4158,86.4577164590523,-0.464426734447713,5.45593070290157,"#DCD8CE"
"1305145619_3","1305145619_3.png",1,0.501,49.3497410393764,3.44716216886919,6.67665759923106,"#80736A"
"1305145619_3","1305145619_3.png",2,0.499,81.622640867046,2.34248421055163,7.71351309620568,"#D5C9BD"
"1305145619_5","1305145619_5.png",1,0.5004,51.0057198664572,1.57982100037839,10.1617241246372,"#837868"
"1305145619_5","1305145619_5.png",2,0.4996,78.9801352437475,0.442167046082411,8.45067880780791,"#CBC3B4"
"1305145712_1","1305145712_1.png",1,0.6418,59.050387630664,5.91736504824925,-3.30056432179954,"#968B94"
"1305145712_1","1305145712_1.png",2,0.3582,83.626574130232,4.03392251026823,-0.578803027437713,"#D8CED2"
"1305145712_2","1305145712_2.png",1,0.7692,63.3540992196338,4.87731590440336,-4.10949940832302,"#9F97A1"
"1305145712_2","1305145712_2.png",2,0.2308,82.9135971853589,2.86928254058695,-3.24589976856461,"#D1CDD5"
"1305145750_1","1305145750_1.png",1,0.637,59.8260988051031,3.95172409037834,-2.018509381372,"#968E94"
"1305145750_1","1305145750_1.png",2,0.363,80.8109072484843,2.02626787883106,-0.753630301182413,"#CCC7CA"
"1305145750_2","1305145750_2.png",1,0.5548,72.2654664442037,2.18716450132202,1.30576477648001,"#B6B0AF"
"1305145750_2","1305145750_2.png",2,0.4452,53.8458233639275,4.36084466630374,0.506221035003024,"#897E80"
"1305145750_3","1305145750_3.png",1,0.5516,57.1876541968635,3.7555570300348,-3.10340698899483,"#8E878F"
"1305145750_3","1305145750_3.png",2,0.4484,77.4341918753881,1.58912617328567,-0.443571812916487,"#C2BEC0"
"1305145750_4","1305145750_4.png",1,0.6078,59.2917358233338,4.19424636585445,-2.54687929303638,"#948C93"
"1305145750_4","1305145750_4.png",2,0.3922,78.3972619716463,1.61995591024523,-0.146509753866975,"#C5C1C2"
"1305145750_5","1305145750_5.png",1,0.6596,59.7295362799555,4.13794227455245,-0.914819789646957,"#978E92"
"1305145750_5","1305145750_5.png",2,0.3404,83.168585850137,2.10894531326768,0.0386016860154664,"#D3CECF"
"1453525831_1","1453525831_1.png",1,0.5032,75.9022175951247,-0.989085075727316,3.31252422193387,"#BCBBB5"
"1453525831_1","1453525831_1.png",2,0.4968,54.139498540476,-1.75353552883458,5.75204293336672,"#838278"
"1562948422_1","1562948422_1.png",1,0.5386,76.4608234119651,0.231967414929959,5.94417118192698,"#C2BCB2"
"1562948422_1","1562948422_1.png",2,0.4614,49.9138007691316,-0.249072164572582,6.15510773783317,"#7B766C"
"1841222086_2","1841222086_2.png",1,0.6192,73.6586081341195,0.267549499771971,2.19109601341238,"#B7B5B1"
"1841222086_2","1841222086_2.png",2,0.3808,41.2530970122169,-0.00489309739068152,3.70948360329738,"#64615B"
"1841222284_1","1841222284_1.png",1,0.646,69.9941235203982,0.984721180471905,3.61477578724504,"#B0AAA5"
"1841222284_1","1841222284_1.png",2,0.354,46.371811733751,1.17245991774034,6.36784102783306,"#746D63"
"1841222284_2","1841222284_2.png",1,0.6194,70.8955056365601,0.797598992031854,3.7398118224973,"#B2ADA7"
"1841222284_2","1841222284_2.png",2,0.3806,48.8749324206816,0.97734276825679,4.79900625638088,"#79736C"
"1847509866_1","1847509866_1.png",1,0.678,71.2320943716554,2.06346676661527,2.77935871547863,"#B4ADA9"
"1847509866_1","1847509866_1.png",2,0.322,42.7606148119068,2.63902756683882,2.92606738056335,"#6B6360"
"1914344688_1","1914344688_1.png",1,0.5206,80.1394184817861,1.18590750631682,6.70699001863925,"#CEC6BA"
"1914344688_1","1914344688_1.png",2,0.4794,46.8680506585695,3.86955857693088,8.66561456023343,"#7B6C61"
"1914350345_1","1914350345_1.png",1,0.5034,81.7888329331916,1.47183744490475,-3.20305618175288,"#CBCBD1"
"1914350345_1","1914350345_1.png",2,0.4966,47.8684359829743,1.52517849066905,-2.3537575100943,"#727176"
"1920828637_1","1920828637_1.png",1,0.5658,55.8213043282767,2.15314593609302,-0.885608882337139,"#898587"
"1920828637_1","1920828637_1.png",2,0.4342,79.3246922056467,0.443298790775265,-0.889302283486406,"#C5C4C6"
"2242876293_1","2242876293_1.png",1,0.5666,76.6620472950134,0.548918994176103,-7.12608488896195,"#B8BDCA"
"2242876293_1","2242876293_1.png",2,0.4334,45.7357158341921,2.32167095486517,-7.17250912942975,"#6A6C78"
"2242876293_2","2242876293_2.png",1,0.519,79.9191887456076,0.625720376490455,-3.0244167990277,"#C5C6CC"
"2242876293_2","2242876293_2.png",2,0.481,46.3373552222112,6.32120599271248,-6.64532538852312,"#746B79"
"2242876293_3","2242876293_3.png",1,0.5366,79.8784952071151,-0.211213528517403,-1.83724369516795,"#C4C6C9"
"2242876293_3","2242876293_3.png",2,0.4634,42.4814856983801,0.465159900213932,0.0212044866338339,"#656464"
"2265841504_1","2265841504_1.png",1,0.578,74.0238899518859,2.88218788526487,4.34402016666991,"#BFB4AE"
"2265841504_1","2265841504_1.png",2,0.422,49.3926591267734,3.01973660919037,2.77207528361533,"#7D7471"
"2294556564_1","2294556564_1.png",1,0.5738,53.2067782241719,1.36673960650959,0.331776296135114,"#827E7F"
"2294556564_1","2294556564_1.png",2,0.4262,85.2993441606306,1.26580491882304,2.0095838928685,"#D9D4D1"
"2294623070_1","2294623070_1.png",1,0.5852,74.229690471766,0.625908863438865,3.97278406933474,"#BBB6AF"
"2294623070_1","2294623070_1.png",2,0.4148,45.5033040494341,2.65104534072371,8.49927397741539,"#766A5E"
"2294623070_2","2294623070_2.png",1,0.6106,72.9262154094707,0.496586191242517,2.85157044576408,"#B6B2AE"
"2294623070_2","2294623070_2.png",2,0.3894,38.4135899266996,2.60348589990588,6.08923552892986,"#635951"
"2311351179_3","2311351179_3.png",1,0.5296,76.2266117059019,-1.19617112764264,0.770172828837835,"#BABDBA"
"2311351179_3","2311351179_3.png",2,0.4704,49.7886834889636,1.17865048537493,3.15645332344771,"#7B7671"
"2331856825_1","2331856825_1.png",1,0.5234,56.5755207371557,4.0983664963763,8.39444551844779,"#958579"
"2331856825_1","2331856825_1.png",2,0.4766,74.3815138576771,2.79381027353196,7.22036257365312,"#C2B5AA"
"2423170381_1","2423170381_1.png",1,0.7228,69.5064314312281,-1.25776413723153,-3.06146599501971,"#A5ABAF"
"2423170381_1","2423170381_1.png",2,0.2772,47.0137385796395,-1.17996621757009,-4.50827872412249,"#6A7077"
"2429533552_1","2429533552_1.png",1,0.5792,77.6600109522092,0.35609276256574,-2.36244587612875,"#BFC0C4"
"2429533552_1","2429533552_1.png",2,0.4208,43.2410523325199,1.76442019134263,-1.25170277641301,"#686568"
"2540877950_1","2540877950_1.png",1,0.5486,77.1526504408387,0.210834968788428,6.06296048607563,"#C4BEB3"
"2540877950_1","2540877950_1.png",2,0.4514,46.0381880812001,0.791005352962311,7.92102699344394,"#746C60"
"2596186097_1","2596186097_1.png",1,0.7594,67.7175957693824,1.17176964168535,-0.111824758656995,"#A7A4A5"
"2596186097_1","2596186097_1.png",2,0.2406,33.5832604470203,4.76221362397533,2.83434906481577,"#584C4B"
"2596345329_1","2596345329_1.png",1,0.6904,71.3219041963162,0.32652045427901,5.08600707466592,"#B3AEA5"
"2596345329_1","2596345329_1.png",2,0.3096,32.7137254392624,1.78975808494582,8.68068873910068,"#554C3F"
"2596414004_1","2596414004_1.png",1,0.6424,72.1100247780855,1.80847738585674,4.35417000593302,"#B8AFA9"
"2596414004_1","2596414004_1.png",2,0.3576,39.1296203548355,4.44867361784856,0.0680646213991759,"#645A5C"
"2626232098_1","2626232098_1.png",1,0.6792,68.0593858018478,1.41583665311227,3.14442084869442,"#ABA5A0"
"2626232098_1","2626232098_1.png",2,0.3208,49.8971694625043,1.51140126883331,4.08191581268434,"#7C7670"
"2626232098_2","2626232098_2.png",1,0.771,67.0889531714927,1.40055122148453,1.24401525138549,"#A7A2A1"
"2626232098_2","2626232098_2.png",2,0.229,47.5393472298136,2.47463156512546,3.58215990151365,"#786F6B"
"2626232098_3","2626232098_3.png",1,0.6586,69.8215032886087,1.26356360760005,4.34533379859975,"#B0AAA3"
"2626232098_3","2626232098_3.png",2,0.3414,39.7366718360572,0.214382486873513,8.09102547159089,"#635D51"
"2634225844_1","2634225844_1.png",1,0.5984,77.2165870802075,0.689606070416465,0.503290169274445,"#C0BEBE"
"2634225844_1","2634225844_1.png",2,0.4016,40.5762241647549,3.50014719107061,-1.91184895316426,"#645E63"
"2802651884_1","2802651884_1.png",1,0.5618,73.9468875853675,1.06184749706993,3.79197518145006,"#BBB5AF"
