"photo_id","file","cluster","proportion","L","a","b","hex"
"1052581155_1","1052581155_1.png",1,0.634,68.8645338862393,0.28526789093226,9.61591200718697,"#B0A797"
"1052581155_1","1052581155_1.png",2,0.366,56.3856375020085,-0.0126852223977596,10.8165604893746,"#8F8775"
"1065603861_1","1065603861_1.png",1,0.6062,70.9886081997066,0.0655999140923945,11.1915081365658,"#B6AD9A"
"1065603861_1","1065603861_1.png",2,0.3938,49.0337485666413,-0.210164615705629,5.38663436870387,"#78746B"
"1098918548_1","1098918548_1.png",1,0.6884,67.899774869664,0.428413525857398,1.01610460467726,"#A7A5A4"
"1098918548_1","1098918548_1.png",2,0.3116,50.9403515978377,1.21556758934842,4.46229432480714,"#7F7872"
"1098918548_2","1098918548_2.png",1,0.718,67.581203710381,0.97658337240628,-0.726021715719586,"#A6A4A6"
"1098918548_2","1098918548_2.png",2,0.282,46.8071273632046,0.113920204272725,0.0718037313256805,"#6F6F6F"
"1132407895_2","1132407895_2.png",1,0.6848,68.7492055564288,0.35750068561963,0.679461775855221,"#A9A7A6"
"1132407895_2","1132407895_2.png",2,0.3152,49.5303264374138,2.04941436926105,3.18237832712295,"#7C7470"
"1134966182_1","1134966182_1.png",1,0.5618,74.8667239140095,0.396569945431706,5.2793245381295,"#BDB8AF"
"1134966182_1","1134966182_1.png",2,0.4382,50.156609396402,0.263397334575882,4.10172982912504,"#7B7770"
"1134966182_2","1134966182_2.png",1,0.506,84.6099647704295,0.217205323730675,11.0906624604594,"#DCD2BE"
"1134966182_2","1134966182_2.png",2,0.494,46.1243469201562,-0.420327271160404,4.84342586773278,"#706D65"
"1135526218_1","1135526218_1.png",1,0.6354,70.749452661065,0.556500040428,6.79192908590637,"#B3ACA1"
"1135526218_1","1135526218_1.png",2,0.3646,42.6051939530089,1.74316484993102,5.05162219757179,"#6B635C"
"1135530375_1","1135530375_1.png",1,0.5114,79.5565361176507,2.20923353107056,-1.91096353425976,"#C8C4C9"
"1135530375_1","1135530375_1.png",2,0.4886,51.6400334198937,4.00084162367816,-5.76630553979441,"#7E7985"
"1135530375_2","1135530375_2.png",1,0.5014,48.3594991965468,1.39184046670181,3.60422136948111,"#78726D"
"1135530375_2","1135530375_2.png",2,0.4986,80.1204918167075,1.10395444480434,3.05106741046442,"#CBC6C1"
"1135530375_3","1135530375_3.png",1,0.5294,53.2326562346897,1.38891263729535,2.4348724444798,"#837E7B"
"1135530375_3","1135530375_3.png",2,0.4706,80.7852134139055,0.691708632914878,2.57852722236406,"#CCC8C4"
"1143525091_1","1143525091_1.png",1,0.6962,70.1683733805999,2.28114910582121,13.5733011818608,"#B9A993"
"1143525091_1","1143525091_1.png",2,0.3038,43.937155153011,2.1595201831719,19.7831394692208,"#776647"
"1143525091_2","1143525091_2.png",1,0.6574,71.0547940748549,2.79103924745859,14.2344152085815,"#BDAB94"
"1143525091_2","1143525091_2.png",2,0.3426,45.1495040739178,4.57488298370489,20.2740432601746,"#7E6749"
"1143525091_3","1143525091_3.png",1,0.7278,68.5953251088677,1.3044150321537,14.851648956389,"#B4A68D"
"1143525091_3","1143525091_3.png",2,0.2722,43.0635085831743,2.56220970486616,22.7128054146088,"#766340"
"1143525091_4","1143525091_4.png",1,0.7608,68.1375004665641,1.68325136832899,13.721963599523,"#B3A48E"
"1143525091_4","1143525091_4.png",2,0.2392,42.6591461775526,1.80474676866785,22.9778199757759,"#74633F"
"1143528305_1","1143528305_1.png",1,0.5166,50.655403178479,5.22025199051639,0.537762738385786,"#827678"
"1143528305_1","1143528305_1.png",2,0.4834,82.5888792584866,1.60748610330808,-0.586869609658671,"#D0CDCF"
"1143535745_1","1143535745_1.png",1,0.7332,67.0846054124629,1.46981546830425,0.314682964279034,"#A6A2A3"
"1143535745_1","1143535745_1.png",2,0.2668,48.8130792919375,2.23346648267612,-0.859177287039956,"#777375"
"1143550049_1","1143550049_1.png",1,0.5598,51.6424161412684,-0.55074215390636,6.97369505369336,"#7F7B6F"
"1143550049_1","1143550049_1.png",2,0.4402,90.1058106361442,-0.428779404170693,13.0365958453704,"#ECE2CA"
"1143550049_2","1143550049_2.png",1,0.571,53.7614187089363,0.509854541662555,5.99499247567097,"#868076"
"1143550049_2","1143550049_2.png",2,0.429,86.0698409699441,0.0341617174316305,7.65060097129987,"#DED7C9"
"1143550049_3","1143550049_3.png",1,0.5816,54.0270528634711,0.174780730164694,7.38556448088913,"#878175"
"1143550049_3","1143550049_3.png",2,0.4184,86.9692692131415,-0.295263183303297,7.80111245063567,"#E0D9CB"
"1211996486_1","1211996486_1.png",1,0.5888,71.5466985872604,3.03503207297113,2.70680799848026,"#B7ADAA"
"1211996486_1","1211996486_1.png",2,0.4112,53.2670536546058,5.10640783570001,5.45201177859014,"#8C7C76"
"1227729356_1","1227729356_1.png",1,0.682,68.5920178968082,1.7324899404346,14.8889021020153,"#B5A58D"
"1227729356_1","1227729356_1.png",2,0.318,49.9172481382344,4.41376395306401,21.5724410019309,"#8A7352"
"1227729356_2","1227729356_2.png",1,0.9076,64.7480385849798,1.95954284294858,12.4529785499279,"#A99B87"
"1227729356_2","1227729356_2.png",2,0.0924,17.9543939151684,14.7336622063682,33.4109536909005,"#482200"
"1227729356_3","1227729356_3.png",1,0.7452,67.9854888441938,1.87739537010682,11.7274267717911,"#B2A491"
"1227729356_3","1227729356_3.png",2,0.2548,40.2343123218274,4.47585020405099,29.2341483099475,"#745B2E"
"1227736264_1","1227736264_1.png",1,0.6338,78.9702398351522,1.19393829952253,2.73455342604991,"#C8C3BE"
"1227736264_1","1227736264_1.png",2,0.3662,28.3116105899909,-1.54983537579286,7.06888845648396,"#454338"
"1227736264_2","1227736264_2.png",1,0.5424,73.1222634107887,-0.103130304366238,11.1159751498568,"#BCB39F"
"1227736264_2","1227736264_2.png",2,0.4576,54.0525793778876,-0.615114451460902,7.23519601187856,"#858175"
"1262385060_1","1262385060_1.png",1,0.6086,59.4184994866459,0.689262782691311,1.86897748774366,"#928F8C"
"1262385060_1","1262385060_1.png",2,0.3914,81.9047156450703,1.06121244626093,4.65873757670419,"#D2CBC3"
"1265581194_1","1265581194_1.png",1,0.5684,55.823467386373,-0.452023252572329,-2.62304911470703,"#83868A"
"1265581194_1","1265581194_1.png",2,0.4316,93.1533578924833,1.78866720961437,6.73948425010918,"#F4EADF"
"1265893246_1","1265893246_1.png",1,0.5966,73.8215893375628,2.00930057224822,8.80781839906211,"#C0B4A5"
"1265893246_1","1265893246_1.png",2,0.4034,43.5901310085759,1.71056870051602,7.80608472404601,"#6F665A"
"1269566047_1","1269566047_1.png",1,0.6732,68.2243022123801,0.637940523419651,2.50670261974175,"#AAA6A2"
"1269566047_1","1269566047_1.png",2,0.3268,51.8277234338101,1.91567759176932,3.24031757792488,"#817A76"
"1269572635_1","1269572635_1.png",1,0.5236,59.2726198577278,0.186501294906503,10.5545319618771,"#978E7C"
"1269572635_1","1269572635_1.png",2,0.4764,70.480100426069,-0.258148859976342,9.08186619800334,"#B3AC9C"
"1269573956_1","1269573956_1.png",1,0.621,70.1590402017684,0.894595208116509,11.4387822823346,"#B6AA97"
"1269573956_1","1269573956_1.png",2,0.379,46.9969425055889,0.726262772940308,8.86015744263517,"#776E61"
"1269573960_1","1269573960_1.png",1,0.5422,77.6255017457389,-1.01746551102824,8.21586506513146,"#C4C0B1"
"1269573960_1","1269573960_1.png",2,0.4578,43.4121016428439,-2.76573069749265,10.9314172113142,"#696754"
"1269581703_1","1269581703_1.png",1,0.7386,69.4689309213016,-2.01348902788578,9.22781065108595,"#ADAA99"
"1269581703_1","1269581703_1.png",2,0.2614,48.4788224419046,-8.4169600179236,24.7132608565869,"#747649"
"1272087529_1","1272087529_1.png",1,0.7416,65.83329830727,-0.871588818188701,4.08938797310384,"#A2A099"
"1272087529_1","1272087529_1.png",2,0.2584,47.9052767988442,1.3191602007007,2.35607522457932,"#76716E"
"1291134097_1","1291134097_1.png",1,0.5152,73.2660866093916,0.505461098374138,0.206052238646267,"#B5B4B4"
"1291134097_1","1291134097_1.png",2,0.4848,55.6991772123703,1.57166602851266,-0.947663761337215,"#888587"
"1291135651_1","1291135651_1.png",1,0.6422,68.5314811503829,2.21851494543329,-3.09305724041257,"#A9A6AD"
"1291135651_1","1291135651_1.png",2,0.3578,53.2644603721036,3.49611178690449,-3.56382367717675,"#837D85"
"1291146716_1","1291146716_1.png",1,0.6494,55.2799445584649,-0.204020288308941,21.1138230293446,"#918360"
"1291146716_1","1291146716_1.png",2,0.3506,87.898857738232,2.84354224225801,16.418032356657,"#EEDABE"
"1291153746_1","1291153746_1.png",1,0.5932,72.6142440864842,0.0842313090742093,-0.311944645750333,"#B2B2B3"
"1291153746_1","1291153746_1.png",2,0.4068,51.0490647460774,-0.296148644532255,1.46224049150727,"#7A7A77"
"1305129161_1","1305129161_1.png",1,0.6744,71.5181900678359,2.50607870584444,8.7543299141945,"#BAAD9F"
"1305129161_1","1305129161_1.png",2,0.3256,29.1096433750486,-0.755999053361947,15.7603427766805,"#4C442C"
"1453051998_1","1453051998_1.png",1,0.63,72.3636595809898,4.41400981166001,9.16263498642062,"#C0AEA1"
"1453051998_1","1453051998_1.png",2,0.37,34.280608970734,1.16085987476679,10.1593590524026,"#594F41"
"1453371744_1","1453371744_1.png",1,0.6814,69.45185800092,0.180398860810737,6.25623892018946,"#AFA99E"
"1453371744_1","1453371744_1.png",2,0.3186,49.4495938138583,1.87299835032027,4.63190374399664,"#7C746E"
"1453405956_1","1453405956_1.png",1,0.6974,69.7989225089155,0.723798362674856,12.0670826081965,"#B5A995"
"1453405956_1","1453405956_1.png",2,0.3026,33.3115864986115,5.44620394617767,22.7737610422448,"#614A2A"
"1453405956_2","1453405956_2.png",1,0.6688,69.3844511666718,-1.02955628395759,16.6523298071588,"#B3A98B"
"1453405956_2","1453405956_2.png",2,0.3312,42.1693962378233,2.46874415071981,21.1139807929093,"#736141"
